Id_estacio;Nom_Est;Longitud_geo;Latitud_geo;alt_est;ET_mmy;Porc_datos;Celda_XY;Cant_Est;departamento;municipio;AH;ZSZH;vereda;SUBREGION;depto_region;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
55015010;PIE DE PATO - AUT [55015010];-76,97316435;5,521080913;21;1588;92;(3-3);7;Choco;AltoBaudo(PieDePato);Pacifico;DirectosPacificoRioBaudo;EL CUETERO;;Choco - ;0;0;0;0;0;0;0;0;647;1237;1163;2046;1349;1365;1232;1120;1092;1411;1762;1627;1269;1067;858;1426;1517;1279;1457;1175;1264;1052;1180;1289;1098;1857;1301;1578;1680;1373;1680;1397;1646;1638;1584;1192;1199;1156;1319;1420;1230;997;259;60
27010850;AMALFI [27010850];-75,07721806;6,905558454;1568;1165;96;(6-7);10;Antioquia;Amalfi;MagdalenaCauca;RioPorce;;Nordeste;Antioquia - Nordeste;0;0;0;0;0;0;0;0;0;1201;1371;1706;1421;1295;1512;1300;723;1222;1290;1496;1039;914;1237;1211;1473;900;1185;787;1207;1632;834;994;834;1318;924;1812;1144;1501;1480;1495;1516;1158;1690;1084;958;800;909;979;1178;1166;1042;61
27010890;CUEVA SANTA [27010890];-75,03836131;6,9590045;1512;1178;94;(6-7);10;Antioquia;Amalfi;MagdalenaCauca;RioPorce;SALAZAR;Nordeste;Antioquia - Nordeste;0;0;0;0;0;0;0;0;405;1516;1224;1574;1428;1322;1637;1642;1245;1370;1995;1992;1817;1248;1328;1420;1830;1358;1673;1386;1406;1182;1355;1709;1864;1656;1277;1735;1575;1299;989;1265;1813;1740;1561;1530;1579;1451;1169;1809;1509;1085;1215;42
27010960;MONOS HACIENDA [27010960];-74,90214015;6,898610316;1079;1285;76;(6-7);10;Antioquia;Amalfi;MagdalenaCauca;RioPorce;MONOS;Nordeste;Antioquia - Nordeste;0;0;0;0;477;1394;841;1081;1747;1431;808;1433;1099;1172;1453;1660;981;1341;1569;1757;1709;1306;1155;1415;1325;1484;1622;1135;1155;481;1438;1517;0;0;0;1439;675;1215;1811;1176;1498;1650;1707;1433;1292;1173;1109;1445;1325;1402;1572;100
21250310;IDEMA [21250310];-74,78332994;4,783333667;231;1523;1;(1-8);10;Tolima;Ambalema;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;TAJO MEDIO;;Tolima - ;0;0;0;0;0;0;0;0;0;0;2404;3927;509;1852;3499;2276;2689;2209;2280;2758;2463;3544;2993;2611;2096;1755;3222;2428;2243;2211;3911;3624;3122;2541;2610;2299;3105;2662;2783;2952;4048;4634;4361;4080;4367;2888;2320;2005;2580;2440;1607;2
21250350;TRIUNFO EL HACIENDA [21250350];-74,79999685;4,866665748;231;1523;4;(1-8);10;Tolima;Ambalema;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;CHORRILLO;;Tolima - ;0;582;2452;1716;2238;2744;1798;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
21250370;FLORIDA LA HACIENDA [21250370];-74,81666218;4,933333453;243;1519;27;(2-7);24;Tolima;Ambalema;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;SANTUARIO;;Tolima - ;0;0;0;0;0;0;0;0;0;0;2404;3927;509;1852;3499;2276;2689;2209;2280;2758;2463;3544;2993;2611;2096;1755;3222;2428;2243;2211;3911;3624;3122;2541;2610;2299;3105;2662;2783;2952;4048;4634;4361;4080;4367;2888;2320;2005;2580;2440;1607;59
21250430;CAMPAMENTO AMBALEM [21250430];-74,76666604;4,783331637;263;1513;59;(1-8);10;Tolima;Ambalema;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;;;Tolima - ;0;0;0;0;0;0;0;0;0;0;2404;3927;509;1852;3499;2276;2689;2209;2280;2758;2463;3544;2993;2611;2096;1755;3222;2428;2243;2211;3911;3624;3122;2541;2610;2299;3105;2662;2783;2952;4048;4634;4361;4080;4367;2888;2320;2005;2580;2440;1607;20
21250440;ALEGRIAS [21250440];-74,93333558;4,86666681;356;1485;4;(1-7);23;Tolima;Ambalema;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;ALTO DEL BLEDO;;Tolima - ;0;582;2452;1716;2238;2744;1798;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83
21250540;BOCATOMA C Norte [21250540];-74,80000271;4,783335268;238;1520;39;(1-8);10;Tolima;Ambalema;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;TAJO MEDIO;;Tolima - ;0;0;3226;2309;5118;5170;2116;4775;4221;3580;5219;5982;3897;4119;4947;3059;4073;4772;4726;2712;3315;1945;3553;4566;3621;3567;4614;2741;2965;5484;3883;3542;3878;3563;3030;3716;4511;4379;5057;4547;4537;5197;4572;4333;3815;4755;4130;4316;2617;4010;0;19
21250560;CHORRILLO [21250560];-74,81666355;4,83333253;273;1510;37;(1-7);23;Tolima;Ambalema;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;CHORRILLO;;Tolima - ;0;0;0;0;0;0;0;0;0;0;338;1137;617;2164;796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81
21250580;BOQUERON [21250580];-74,83332907;4,799999485;286;1506;34;(1-7);23;Tolima;Ambalema;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;TAJO MEDIO;;Tolima - ;0;0;0;0;0;0;0;0;0;0;338;1137;617;2164;796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85
21250590;BOCATOMA C CENTRAL [21250590];-74,78332994;4,783333667;231;1523;39;(1-8);10;Tolima;Ambalema;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;TAJO MEDIO;;Tolima - ;0;0;3226;2309;5118;5170;2116;4775;4221;3580;5219;5982;3897;4119;4947;3059;4073;4772;4726;2712;3315;1945;3553;4566;3621;3567;4614;2741;2965;5484;3883;3542;3878;3563;3030;3716;4511;4379;5057;4547;4537;5197;4572;4333;3815;4755;4130;4316;2617;4010;0;66
21250600;GAMBA [21250600];-74,76667065;4,816666241;234;1522;35;(1-8);10;Tolima;Ambalema;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;GAMBA;;Tolima - ;0;0;0;0;16;4208;3008;4551;3649;3228;3128;4154;3570;3594;4332;3309;3352;2981;4006;3354;3513;3082;2941;3773;3912;3430;2558;2057;3448;3616;3448;2454;3476;3642;2739;3921;3592;4592;3945;3384;4622;4862;5022;3995;3634;3115;3546;3087;3700;3576;3743;93
21250610;ALSACIA [21250610];-74,78333235;4,850002268;225;1524;36;(1-8);10;Tolima;Ambalema;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;CHORRILLO;;Tolima - ;0;0;0;0;0;0;0;0;0;0;338;1137;617;2164;796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80
21250640;PIEDRAS NEGRAS [21250640];-74,80000432;4,766663722;240;1520;2;(1-8);10;Tolima;Ambalema;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;TAJO MEDIO;;Tolima - ;0;0;3226;2309;5118;5170;2116;4775;4221;3580;5219;5982;3897;4119;4947;3059;4073;4772;4726;2712;3315;1945;3553;4566;3621;3567;4614;2741;2965;5484;3883;3542;3878;3563;3030;3716;4511;4379;5057;4547;4537;5197;4572;4333;3815;4755;4130;4316;2617;4010;0;25
21255080;SALTO EL [21255080];-74,76794758;4,783753492;276;1509;89;(1-8);10;Tolima;Ambalema;MagdalenaCauca;RioCoello;;;Tolima - ;0;0;0;0;1458;3721;2288;3449;3159;2949;2483;2244;2245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65
26190100;SANTA BARBARA [26190100];-75,90008029;5,563975953;1576;1163;96;(3-5);11;Antioquia;Andes;MagdalenaCauca;RioSanJuan;LAS FLORES;SUROESTE;Antioquia - Suroeste;1396;1338;1041;600;813;981;609;1115;1392;1034;992;1693;1183;1442;1562;1387;945;1354;1575;1613;0;0;1287;1025;1649;1442;1681;883;1342;1517;1375;1288;1004;1443;1110;1787;639;2502;1848;1485;1803;946;1076;1049;1052;1118;1135;1516;1042;100;340;8
26190120;CAMPAMENTO [26190120];-75,87558656;5,681329365;1207;1252;34;(3-5);11;Antioquia;Andes;MagdalenaCauca;RioSanJuan;LA PRADERA;SUROESTE;Antioquia - Suroeste;0;0;0;68;1325;1052;989;1443;1623;1493;1402;1482;1291;1293;1435;1478;925;1557;1354;1597;0;0;1288;1032;1645;1344;1268;870;1355;3;969;1082;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98
26195020;ITA ANDES [26195020];-75,88021845;5,690995825;1210;1252;95;(3-5);11;Antioquia;Andes;MagdalenaCauca;RioSanJuan;LA PRADERA;SUROESTE;Antioquia - Suroeste;0;0;0;68;1325;1052;989;1443;1623;1493;1402;1482;1291;1293;1435;1478;925;1557;1354;1597;0;0;1288;1032;1645;1344;1268;870;1355;3;969;1082;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
