Municipio;Zona_Hidrografica;Subcuenca;Sistema;Area_Ha;Porcentaje
ENTRERRÍOS;Embalse Riogrande II;R. Grande Tramo 2;R. Grande - Chico;10.312.985.676.586.200;4.816.104.342.817.390
ENVIGADO;Valle de Aburra;Q. La Miel;Rio Aburra;8.538.775.559.429.220;0.10248781850758608
ENVIGADO;Valle de Aburra;Q. La Presidenta;Rio Aburra;4.045.278.436.753.070;0.485540062920115
ENVIGADO;Valle de Aburra;Q. La Ayurá;Rio Aburra;37.409.584.500.147.700;4.490.136.413.600.300
ENVIGADO;Valle de Aburra;Directos R. Aburra ZU Medellín;Rio Aburra;841.139.632.014.188;10.095.893.181.102.600
ENVIGADO;Embalse La Fe;Represa La Fé;Río Negro;14.217.833.616.928.700;17.065.148.757.701.400
ENVIGADO;Embalse La Fe;Represa La Fé;Río Negro;62.570.234.196.071.300;0.7510077717387358
ENVIGADO;Embalse La Fe;Represa La Fé;Río Negro;2.205.891.092.883.140;2.647.650.876.890.130
GIRARDOTA;Valle de Aburra;Q. Fulgencio;Rio Aburra;45.293.354.842.557.000;5.468.450.652.684.060
GIRARDOTA;Valle de Aburra;Q. El Salado;Rio Aburra;2.685.553.870.522.920;3.242.378.240.059.340
GIRARDOTA;Valle de Aburra;Q. Juan Cojo;Rio Aburra;5.490.760.838.039.630;6.629.218.522.867.710
GIRARDOTA;Valle de Aburra;Q. El Chuscal;Rio Aburra;10.983.778.286.879.700;0.13261161543588926
GIRARDOTA;Valle de Aburra;Q. Ovejas;Rio Aburra;31.505.757.415.201.000;0.38038180280384687
GIRARDOTA;Valle de Aburra;Q. La Silva;Rio Aburra;15.919.053.471.609.100;19.219.719.680.631.800
GIRARDOTA;Valle de Aburra;Q. La Correa;Rio Aburra;8.454.556.173.434.410;10.207.528.982.006.700
GIRARDOTA;Valle de Aburra;Q. Los Ortegas;Rio Aburra;7.225.147.967.766.320;872.321.453.277.453
GIRARDOTA;Valle de Aburra;Q. El Molinal;Rio Aburra;49.176.457.267.278.900;5.937.273.376.518.990
GIRARDOTA;Valle de Aburra;Directos R. Aburra (INTERCUENCA 4);Rio Aburra;6.449.762.342.569.750;7.787.059.981.422.090
GIRARDOTA;Valle de Aburra;Directos R. Aburra (INTERCUENCA 3);Rio Aburra;1.679.260.947.886.440;20.274.399.320.644.500
GUARNE;Valle de Aburra;Q. Piedras Blancas;Rio Aburra;6.185.022.184.396.010;4.075.611.271.608.060
GUARNE;Valle de Aburra;Q. Ovejas;Rio Aburra;2.812.066.532.347.330;1.853.007.105.562.350
GUARNE;C Rio Negro;Qda. La Mosca;Río Negro;11.714.462.712.435.400;7.719.227.974.975.570
HELICONIA;Valle de Aburra;Q. Doña Maria;Rio Aburra;1.783.813.447.044.190;0.15534260862343233
ITAGÜÍ;Valle de Aburra;Q. Doña Maria;Rio Aburra;11.179.813.021.001.300;56.909.917.071.888.100
ITAGÜÍ;Valle de Aburra;Q. Altavista;Rio Aburra;2.528.775.194.747.580;0.12872521781553262
ITAGÜÍ;Valle de Aburra;Directos R. Aburra ZU Medellín;Rio Aburra;8.439.652.894.288.280;42.961.357.710.296.200
LA CEJA;C Rio Negro;Qda. San Antonio - Emb. Abreo Mal Paso;Río Negro;7.132.109.009.068.660;53.759.589.820.343.900
LA CEJA;Embalse La Fe;Río Platanillo;Río Negro;1.442.727.010.971.280;1.087.482.149.164.110
LA CEJA;Embalse La Fe;Rio Piedras;Río Arma;15.910.792.725.222.400;0.1199305408171499
LA CEJA;Embalse La Fe;Rio Piedras;Río Arma;16.934.719.365.777.800;12.764.857.711.362.000
LA CEJA;Embalse La Fe;Río Buey;Río Arma;8.115.234.213.603.390;6.117.007.775.184.150
LA ESTRELLA;Valle de Aburra;Q. La Miel;Rio Aburra;1.131.276.847.407.890;0.3088921528565903
LA ESTRELLA;Valle de Aburra;Q. Doña Maria;Rio Aburra;4.701.116.154.525.940;12.836.273.394.330.500
LA ESTRELLA;Valle de Aburra;Q. La Grande;Rio Aburra;9.509.203.605.031.190;25.964.629.084.737.500
LA ESTRELLA;Valle de Aburra;Q. La Bermejala;Rio Aburra;5.221.678.958.453.670;1.425.765.637.030.790
LA ESTRELLA;Valle de Aburra;Directos R. Aburra ZU Medellín (INTERCUENCA 5);Rio Aburra;14.044.432.697.330.300;3.834.795.224.058.580
LA ESTRELLA;Valle de Aburra;Directos R. Aburra ZU Medellín;Rio Aburra;293.290.632.168.288;8.008.223.185.218.900
LA UNIÓN;C Rio Negro;Qda. San Antonio - Emb. Abreo Mal Paso;Río Negro;487.759.489.472.416;0.29090384629914084
LA UNIÓN;Embalse La Fe;Rio Piedras;Río Arma;5.607.150.546.011.080;3.344.151.566.127.950
LA UNIÓN;Embalse La Fe;Rio Piedras;Río Arma;29.069.279.798.385.000;17.337.162.033.778
LA UNIÓN;Embalse La Fe;Rio Piedras;Río Arma;1.620.511.923.970.550;9.664.868.891.972.910
LA UNIÓN;Embalse La Fe;Rio Piedras;Río Arma;12.999.215.682.109.800;7.752.841.149.001.830
LA UNIÓN;Embalse La Fe;Río Buey;Río Arma;2.734.979.553.841.670;1.631.164.721.413.470
LA UNIÓN;Embalse La Fe;Río Buey;Río Arma;5.324.327.693.862.140;3.175.473.647.425.820
LA UNIÓN;Embalse La Fe;Rio Piedras;Río Arma;4.550.112.833.089.810;27.137.254.175.672.200
LA UNIÓN;Embalse La Fe;Río Buey;Río Arma;14.352.012.262.603.800;8.559.660.364.250.080
LA UNIÓN;Embalse La Fe;Río Buey;Río Arma;10.587.874.967.743.800;6.314.697.343.115.980
MARINILLA;C Rio Negro;Qda La Paja;Río Negro;1.368.609.346.315.260;1.191.961.787.703.500
MARINILLA;C Rio Negro;Qda. El Molino;Río Negro;19.189.372.996.748.300;167.125.844.958.571
MARINILLA;C Rio Negro;Qda La Paja;Río Negro;31.944.279.340.969.100;2.782.120.435.804.090
MARINILLA;C Rio Negro;Qda. Marinilla;Río Negro;6.229.924.892.768.050;0.5425823250758236
MARINILLA;C Rio Negro;Qda. La Mosca;Río Negro;2.978.410.468.220.580;0.25939845258058497
MARINILLA;C Rio Negro;Qda. Cimarrona;Río Negro;9.295.952.821.289.550;8.096.116.377.623.620
MARINILLA;C Rio Negro;Qda. Marinilla;Río Negro;394.609.254.155.066;34.367.670.606.179.700
PEÑOL;C Rio Negro;Qda La Paja;Río Negro;4.571.674.555.744.310;38.659.396.480.611.200
PEÑOL;C Rio Negro;Qda La Paja;Río Negro;2.976.521.765.470.530;25.170.325.153.593.400
EL RETIRO;C Rio Negro;Qda. Yarumal;Río Negro;7.521.493.997.185.470;3.157.848.128.784.400
EL RETIRO;Embalse La Fe;Represa La Fé;Río Negro;32.442.883.296.209.200;13.620.924.027.545.800
EL RETIRO;Embalse La Fe;Río Platanillo;Río Negro;4.693.956.149.012.910;19.707.255.828.832.900
EL RETIRO;Embalse La Fe;Río Platanillo;Río Negro;2.672.342.083.908.470;1.121.964.659.188.720
EL RETIRO;Embalse La Fe;Represa La Fé;Río Negro;9.868.036.423.486.090;414.302.801.628.807
EL RETIRO;Embalse La Fe;Represa La Fé;Río Negro;22.519.842.262.814.900;945.480.269.967.124
EL RETIRO;Embalse La Fe;Represa La Fé;Río Negro;9.385.355.600.543.330;3.940.377.753.707.210
RIONEGRO;C Rio Negro;Qda. La Mosca;Río Negro;25.952.786.252.638.500;13.250.260.422.589.700
